K,S_mean,S_std,W_mean,W_std,condition,forecast_derivative_mae,forecast_mae,forecast_rmse,mask_density,mask_family,mask_kind,max_support,method,num_masks,task
1,3.9015,0.5228831783312772,0.14500000000000002,0.0750420757396351,drift,,,,0.05,window_1,sliding_window,1,replan_blend,20,classification
3,6.769500000000001,0.6057341734530824,0.14777777777777779,0.11902773603400059,drift,,,,0.15,window_3,sliding_window,3,uniform,18,classification
3,6.831999999999999,0.6154377599429827,0.16555555555555557,0.1483542337638038,drift,0.27043414931005794,2.973852457830917,3.8212940657237406,0.15,window_3,sliding_window,3,replan_last,18,classification
3,6.775000000000001,0.5983774357005414,0.15777777777777777,0.13040174094562956,drift,0.24110370675056214,2.8746220901554698,3.380921330602778,0.15,window_3,sliding_window,3,replan_mean,18,classification
3,6.7284999999999995,0.5849654656127967,0.17055555555555557,0.1338316073078509,drift,0.23988307438530942,2.7600430684512305,3.3292863311738916,0.15,window_3,sliding_window,3,replan_ewma,18,classification
3,6.984500000000001,0.6614070935772789,0.14833333333333334,0.14126585539501874,drift,0.37043666600352787,4.502951683833112,6.084504509468018,0.15,window_3,sliding_window,3,replan_trend,18,classification
3,6.7115,0.624413057732353,0.17388888888888887,0.14161851913931445,drift,0.28734361968031036,3.273330749643104,4.253047007622112,0.15,window_3,sliding_window,3,replan_blend,18,classification
5,7.675999999999999,0.6175660926474824,0.14375,0.16725747556182094,drift,,,,0.25,window_5,sliding_window,5,uniform,16,classification
5,7.741500000000001,0.6554763477229689,0.175625,0.18478569863274572,drift,0.27043414931005794,2.973852457830917,3.8212940657237406,0.25,window_5,sliding_window,5,replan_last,16,classification
5,7.491499999999999,0.6208114191780127,0.18625,0.19031556065194097,drift,0.24110370675056214,2.8746220901554698,3.380921330602778,0.25,window_5,sliding_window,5,replan_mean,16,classification
5,7.527500000000001,0.6490620661050573,0.181875,0.19219603280310582,drift,0.23988307438530942,2.7600430684512305,3.3292863311738916,0.25,window_5,sliding_window,5,replan_ewma,16,classification
5,8.1265,0.5586082543412528,0.11375,0.16817030058842136,drift,0.37043666600352787,4.502951683833112,6.084504509468018,0.25,window_5,sliding_window,5,replan_trend,16,classification
5,7.596000000000001,0.6133893255074339,0.19125,0.18945112772950126,drift,0.28734361968031036,3.273330749643104,4.253047007622112,0.25,window_5,sliding_window,5,replan_blend,16,classification
7,8.3185,0.5583912226886788,0.13357142857142856,0.19413557351218919,drift,,,,0.35,window_7,sliding_window,7,uniform,14,classification
7,8.160499999999999,0.6902383938930379,0.15285714285714286,0.19998453867262192,drift,0.27043414931005794,2.973852457830917,3.8212940657237406,0.35,window_7,sliding_window,7,replan_last,14,classification
7,7.8905,0.6429766242982239,0.18571428571428572,0.23328473740792172,drift,0.24110370675056214,2.8746220901554698,3.380921330602778,0.35,window_7,sliding_window,7,replan_mean,14,classification
7,7.903500000000001,0.6618101516051842,0.20071428571428573,0.24611912519938287,drift,0.23988307438530942,2.7600430684512305,3.3292863311738916,0.35,window_7,sliding_window,7,replan_ewma,14,classification
7,8.6635,0.574186073032642,0.10357142857142856,0.17914769930235425,drift,0.37043666600352787,4.502951683833112,6.084504509468018,0.35,window_7,sliding_window,7,replan_trend,14,classification
7,8.0465,0.5970996820490113,0.16857142857142857,0.2307347124388132,drift,0.28734361968031036,3.273330749643104,4.253047007622112,0.35,window_7,sliding_window,7,replan_blend,14,classification
9,8.5735,0.5291242526547756,0.13666666666666666,0.23286388561902258,drift,,,,0.45,window_9,sliding_window,9,uniform,12,classification
9,8.5205,0.6362411317871376,0.18666666666666668,0.3107050018977243,drift,0.27043414931005794,2.973852457830917,3.8212940657237406,0.45,window_9,sliding_window,9,replan_last,12,classification
